COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Godwit, Bar-tailed",Limosa lapponica,LILA,BARG,2500,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Prober,"Tundra, Coastal",NA
"Godwit, Hudsonian",Limosa haemastica,LIHA,HUGO,2510,R,Ground,Scrape,"Insects, Aquatic Inverts",Water,Prober,Tundra,NA
"Godwit, Marbled",Limosa fedoa,LIFE,MAGO,2490,R,Ground,Scrape,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner","Grassland, Swamp/Marsh",NA
"Goldeneye, Barrow’s",Bucephala islandica,BUIS,BAGO,1520,R,"Snag, Woody Upper Canopy",Cavity,Aquatic Inverts,Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Goldeneye, Common",Bucephala clangula,BUCL,COGO,1510,R,"Snag, Woody Upper Canopy",Cavity,"Aquatic Inverts, Fish",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Goldfinch, American",Carduelis tristis,CATR,AMGO,5290,B,"Shrub, Woody Lower Canopy",Cup,"Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Grassland, Riparian",NA
"Goldfinch, Lawrence’s",Carduelis lawrencei,CALA3,LAGO,5310,B,"Woody Upper Canopy, Shrub",Cup,"Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Riparian, Shrubland",NA
"Goldfinch, Lesser",Carduelis psaltria,CAPS,LEGO,5300,B,"Woody Lower Canopy, Shrub",Cup,"Seeds, Insects",Foliage,Foliage Gleaner,"Forest Edge, Grassland",NA
"Goose, Barnacle",Branta leucopsis,BRLE,BRNG,1750,R,"Cliff, Ground",Scrape,"Greens, Seeds",Ground,Ground Gleaner,"Tundra, Coastal",NA
"Goose, Canada",Branta canadensis,BRCA1,CAGO,1720,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Swamp/Marsh, Freshwater",NA
"Goose, Emperor",Chen canagica,CHCA1,EMGO,1760,R,Ground,Scrape,"Greens, Aquatic Inverts","Ground, Water","Ground Gleaner, Dabbler","Swamp/Marsh, Tundra",NA
"Goose, Greater White-fronted",Anser albifrons,ANAL,GWFG,1710,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Freshwater, Swamp/Marsh",NA
"Goose, Pink-footed",Anser brachyrhynchus,ANBR,PFGO,1712,R,"Ground, Cliff",Scrape,"Grain, Greens",Ground,Ground Gleaner,"Tundra, Coastal",NA
"Goose, Ross’",Chen rossii,CHRO,ROGO,1700,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Freshwater, Tundra",NA
"Goose, Snow",Chen caerulescens,CHCA,SNGO,1690,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Tundra, Freshwater",NA
"Goshawk, Northern",Accipiter gentilis,ACGE,NOGO,3340,B,Woody Upper Canopy,Platform,"Birds, Small Mammals","Air, Ground","Aerial Pursuit, Low Patrol",Forest,NA
"Grackle, Boat-tailed",Quiscalus major,QUMA,BTGR,5130,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Small Verts","Ground, Air","Ground Gleaner, Hawker","Swamp/Marsh, Cropland",NA
"Grackle, Common",Quiscalus quiscula,QUQU,COGR,5110,R,Woody Lower Canopy,"Cup, Cavity","Insects, Aquatic Inverts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Grassland, Urban",NA
"Grackle, Great-tailed",Quiscalus mexicanus,QUME,GTGR,5120,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Small Verts",Ground,Ground Gleaner,"Grassland, Swamp/Marsh",NA
"Grebe, Clark’s",Aechmophorus clarkii,AECL,CLGR,11,R,Ground,Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Grebe, Eared",Podiceps nigricollis,PONI,EAGR,40,R,Floating,Platform,"Aquatic Inverts, Fish",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Grebe, Horned",Podiceps auritus,POAU,HOGR,30,R,Floating,Platform,"Aquatic Inverts, Fish",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Grebe, Least",Tachybaptus dominicus,TADO,LEGR,50,R,Floating,Platform,"Aquatic Inverts, Fish",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Grebe, Pied-billed",Podilymbus podiceps,POPO,PBGR,60,R,Floating,Platform,"Aquatic Inverts, Fish",Water,Surface Dives,"Swamp/Marsh, Riparian",NA
"Grebe, Red-necked",Podiceps grisegena,POGR,RNGR,20,R,Floating,Platform,"Aquatic Inverts, Fish",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Grebe, Western",Aechmophorus occidentalis,AEOC,WEGR,10,R,Floating,Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Grosbeak, Black-headed",Pheucticus melanocephalus,PHME1,BHGR,5960,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Seeds",Foliage,Foliage Gleaner,"Riparian, Forest Edge",NA
"Grosbeak, Blue",Guiraca caerulea,GUCA,BLGR,5970,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Riparian, Forest Edge",NA
"Grosbeak, Evening",Coccothraustes vespertinus,COVE,EVGR,5140,R,Woody Upper Canopy,Cup,"Seeds, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Urban",NA
"Grosbeak, Pine",Pinicola enucleator,PIEN,PIGR,5150,R,"Woody Lower Canopy, Shrub",Cup,"Seeds, Fruit","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest, Forest Edge",NA
"Grosbeak, Rose-breasted",Pheucticus ludovicianus,PHLU,RBGR,5950,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Seeds","Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Shrubland",NA
"Grouse, Blue",Dendragapus obscurus,DEOB,BLGS,2970,R,Ground,Scrape,"Greens, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Grouse, Ruffed",Bonasa umbellus,BOUM,RUGR,3000,R,Ground,Scrape,"Greens, Seeds","Foliage, Ground","Foliage Browser, Ground Gleaner",Forest,NA
"Grouse, Sage",Centrocercus urophasianus,CEUR,SAGR,3090,R,Ground,Scrape,"Greens, Insects","Foliage, Ground","Foliage Browser, Ground Gleaner",Shrubland,NA
"Grouse, Sharp-tailed",Tympanuchus phasianellus,TYPH,STGR,3080,R,Ground,Scrape,"Greens, Seeds","Ground, Foliage","Ground Gleaner, Foliage Browser","Grassland, Shrubland",NA
"Grouse, Spruce",Dendragapus canadensis,DECA,SPGR,2980,R,Ground,Scrape,"Greens, Fruit","Foliage, Ground","Foliage Browser, Ground Gleaner",Forest,NA
"Guillemot, Black",Cepphus grylle,CEGR,BLGU,270,R,"Cliff, Ground",Crevice,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Guillemot, Pigeon",Cepphus columba,CECO1,PIGU,290,R,Cliff,"Crevice, Burrow","Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Gull, Bonaparte’s",Larus philadelphia,LAPH,BOGU,600,R,"Woody Lower Canopy, Ground",Saucer,"Insects, Aquatic Inverts","Ground, Water","Scavenger, Surface Dives","Shoreline, Freshwater",NA
"Gull, California",Larus californicus,LACA1,CAGU,530,R,Ground,Scrape,"Insects, Small Verts",Water,"Scavenger, Surface Dives","Coastal, Freshwater",NA
"Gull, Common Black-headed",Larus ridibundus,LARI,CBHG,551,R,Ground,Scrape,Insects,Water,"Scavenger, Ground Gleaner","Coastal, Freshwater",NA
"Gull, Franklin’s",Larus pipixcan,LAPI,FRGU,590,R,Floating,Platform,Insects,Water,"Scavenger, Ground Gleaner","Freshwater, Cropland",NA
"Gull, Glaucous",Larus hyperboreus,LAHY,GLGU,420,R,"Cliff, Ground",Saucer,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol",Coastal,NA
"Gull, Glaucous-winged",Larus glaucescens,LAGL,GWGU,440,R,"Cliff, Ground",Saucer,"Aquatic Inverts, Fish","Water, Ground","Scavenger, Ground Gleaner",Coastal,NA
"Gull, Great Black-backed",Larus marinus,LAMA,GBBG,470,R,Ground,Saucer,"Birds, Fish","Ground, Water","Scavenger, Ground Gleaner",Coastal,NA
"Gull, Heermann’s",Larus heermanni,LAHE,HEEG,570,R,Ground,"Scrape, Saucer","Fish, Aquatic Inverts",Water,"Scavenger, High Dives",Coastal,NA
"Gull, Herring",Larus argentatus,LAAR,HERG,510,R,"Ground, Cliff",Saucer,"Seeds, Birds","Water, Ground","Scavenger, Ground Gleaner","Coastal, Freshwater",NA
"Gull, Iceland",Larus glaucoides,LAGL1,ICGU,430,R,"Cliff, Ground",Saucer,"Fish, Aquatic Inverts",Water,"Scavenger, High Dives",Coastal,NA
"Gull, Ivory",Pagophila eburnea,PAEB,IVGU,390,R,"Ground, Cliff","Saucer, Scrape","Fish, Aquatic Inverts","Water, Ground","Scavenger, High Dives",Coastal,NA
"Gull, Laughing",Larus atricilla,LAAT,LAGU,580,R,Ground,"Scrape, Saucer",Aquatic Inverts,"Ground, Water","Scavenger, Ground Gleaner",Swamp/Marsh,NA
"Gull, Lesser Black-backed",Larus fuscus,LAFU,LBBG,500,R,Ground,Saucer,"Fish, Aquatic Inverts",Water,Scavenger,Coastal,NA
"Gull, Little",Larus minutus,LAMI,LIGU,601,R,Ground,Scrape,"Insects, Aquatic Inverts",Water,Surface Dips,"Swamp/Marsh, Grassland",NA
"Gull, Mew",Larus canus,LACA2,MEGU,550,R,"Ground, Floating","Scrape, Cup",Insects,"Ground, Water","Scavenger, Ground Gleaner","Coastal, Tundra",NA
"Gull, Ring-billed",Larus delawarensis,LADE1,RBGU,540,R,Ground,Saucer,"Fish, Insects","Ground, Water","Scavenger, Ground Gleaner","Freshwater, Coastal",NA
"Gull, Ross’",Rhodostethia rosea,RHRO,ROGU,610,R,Ground,Scrape,"Insects, Fish","Water, Ground","Surface Dips, Ground Gleaner","Coastal, Tundra",NA
"Gull, Sabine’s",Xema sabini,XESA,SAGU,620,R,Ground,Scrape,"Fish, Insects","Ground, Water","Scavenger, Ground Gleaner","Tundra, Freshwater",NA
"Gull, Thayer’s",Larus thayeri,LATH,THGU,431,R,Cliff,Saucer,"Fish, Fruit","Water, Ground","Scavenger, Low Patrol",Coastal,NA
"Gull, Western",Larus occidentalis,LAOC,WEGU,490,R,"Cliff, Ground",Saucer,"Fish, Aquatic Inverts","Water, Ground","Scavenger, Low Patrol",Coastal,NA
"Gull, Yellow-footed",Larus livens,LALI,YFGU,491,R,Ground,Saucer,"Fish, Aquatic Inverts",Water,Scavenger,Coastal,NA
Gyrfalcon,Falco rusticolus,FARU,GYRF,3540,R,"Cliff, Woody Upper Canopy",Scrape,"Birds, Small Mammals","Air, Ground","Aerial Pursuit, Low Patrol","Tundra, Rocky Slope",NA
"Harrier, Northern",Circus cyaneus,CICY,NOHA,3310,B,"Ground, Shrub",Platform,"Small Mammals, Small Verts Ground, Air",Low Patrol,"Grassland, Swamp/Marsh",,NA
"Hawk, Broad-winged",Buteo platypterus,BUPL,BWHA,3430,A,Woody Upper Canopy,Platform,"Small Mammals, Birds","Ground, Air",Swooper,Forest,NA
"Hawk, Common Black",Buteogallus anthracinus,BUAN,CBHA,3450,C,Woody Upper Canopy,Platform,"Small Verts, Fish","Ground, Water",Swooper,"Swamp/Marsh, Riparian",NA
"Hawk, Cooper’s",Accipiter cooperii,ACCO,COHA,3330,B,Woody Upper Canopy,Platform,"Birds, Small Mammals","Air, Ground","Aerial Pursuit, Low Patrol","Forest, Riparian",NA
"Hawk, Ferruginous",Buteo regalis,BURE1,FEHA,3480,B,"Woody Upper Canopy, Cliff",Platform,"Small Mammals, Birds",Ground,"Hover & Pounce, Swooper",Grassland,NA
"Hawk, Gray",Buteo nitidus,BUNI,GRHA,3460,C,Woody Upper Canopy,Platform,"Small Verts, Birds",Ground,"Swooper, Low Patrol","Riparian, Forest",NA
"Hawk, Harris’",Parabuteo unicinctus,PAUN,HRSH,3350,R,"Woody Upper Canopy, Shrub",Platform,"Small Mammals, Small Verts",Ground,"Low Patrol, Swooper","Grassland, Shrubland",NA
"Hawk, Red-shouldered",Buteo lineatus,BULI,RSHA,3390,B,Woody Upper Canopy,Platform,"Small Mammals, Small Verts",Ground,"Low Patrol, High Patrol","Riparian, Swamp/Marsh",NA
"Hawk, Red-tailed",Buteo jamaicensis,BUJA,RTHA,3370,B,"Woody Upper Canopy, Cliff",Platform,"Small Mammals, Birds",Ground,"High Patrol, Swooper","Forest, Grassland",NA
"Hawk, Rough-legged",Buteo lagopus,BULA,RLHA,3470,R,"Cliff, Woody Upper Canopy",Platform,"Small Mammals, Insects",Ground,"Hover & Pounce, Swooper","Forest, Tundra",NA
"Hawk, Sharp-shinned",Accipiter striatus,ACST,SSHA,3320,B,Woody Upper Canopy,Platform,Birds,Air,Aerial Pursuit,Forest,NA
"Hawk, Short-tailed",Buteo brachyurus,BUBR,STHA,3440,R,Woody Upper Canopy,Platform,Birds,Ground,High Patrol,"Grassland, Swamp/Marsh",NA
"Hawk, Swainson’s",Buteo swainsoni,BUSW,SWHA,3420,A,"Woody Upper Canopy, Cliff",Platform,"Small Mammals, Small Verts",Ground,High Patrol,"Grassland, Forest",NA
"Hawk, White-tailed",Buteo albicaudatus,BUAL2,WTHA,3410,R,"Woody Lower Canopy, Shrub",Platform,"Small Mammals, Small Verts",Ground,"High Patrol, Hover & Pounce","Grassland, Shrubland",NA
"Hawk, Zone-tailed",Buteo albonotatus,BUAL3,ZTHA,3400,C,Woody Upper Canopy,Platform,"Small Verts, Birds",Ground,High Patrol,"Shrubland, Grassland",NA
"Heron, Black-crowned Night",Nycticorax nycticorax,NYNY,BCNH,2020,R,"Woody Lower Canopy, Ground",Platform,"Fish, Small Verts",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Heron, Great Blue",Ardea herodias,ARHE,GTBH,1940,R,Woody Upper Canopy,Platform,"Fish, Aquatic Inverts",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Heron, Green-backed",Butorides striatus,BUST,GNBH,2010,R,"Woody Lower Canopy, Shrub",Platform,"Fish, Insects",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Heron, Little Blue",Egretta caerulea,EGCA,LBHE,2000,R,"Woody Upper Canopy, Shrub",Platform,"Fish, Small Verts",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Heron, Tricolored",Egretta tricolor,EGTR,TRHE,1990,R,"Woody Lower Canopy, Shrub",Platform,"Fish, Small Verts",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Heron, Yellow-crowned Night",Nycticorax violaceus,NYVI,YCNH,2030,R,"Woody Upper Canopy, Shrub",Platform,"Aquatic Inverts, Insects","Water, Ground","Ambusher, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Hummingbird, Allen’s",Selasphorus sasin,SESA,ALHU,4340,A,"Woody Lower Canopy, Shrub",Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Shrubland, Forest",NA
"Hummingbird, Anna’s",Calypte anna,CAAN,ANHU,4310,B,"Woody Lower Canopy, Shrub",Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Hummingbird, Berylline",Amazilia beryllina,AMBE,BEHU,4381,R,Woody Upper Canopy,Cup,"Nectar, Insects",Air,Hover Gleaner,Forest,NA
"Hummingbird, Black-chinned",Archilochus alexandri,ARAL1,BCHU,4290,A,Woody Lower Canopy,Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Hummingbird, Blue-throated",Lampornis clemenciae,LACL,BLUH,4270,C,"Ground, Woody Lower Canopy",Cup,"Insects, Nectar",Air,"Hover Gleaner, Hawker","Forest, Riparian",NA
"Hummingbird, Broad-billed",Cynanthus latirostris,CYLA,BBLH,4410,C,"Woody Lower Canopy, Shrub",Cup,"Nectar, Insects",Air,Hover Gleaner,"Shrubland, Riparian",NA
"Hummingbird, Broad-tailed",Selasphorus platycercus,SEPL,BTLH,4320,A,Woody Lower Canopy,Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Hummingbird, Buff-bellied",Amazilia yucatanensis,AMYU,BUFH,4390,C,"Shrub, Woody Lower Canopy",Cup,"Nectar, Insects",Air,Hover Gleaner,"Forest, Shrubland",NA
"Hummingbird, Calliope",Stellula calliope,STCA,CAHU,4360,A,"Woody Upper Canopy, Shrub",Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Hummingbird, Costa’s",Calypte costae,CACO,COHU,4300,A,"Shrub, Woody Lower Canopy",Cup,"Nectar, Insects",Air,Hover Gleaner,Shrubland,NA
"Hummingbird, Lucifer",Calothorax lucifer,CALU,LUHU,4370,C,"Shrub, Woody Lower Canopy",Cup,"Insects, Nectar",Air,Hover Gleaner,Shrubland,NA
"Hummingbird, Magnificent",Eugenes fulgens,EUFU,MAHU,4260,C,Woody Upper Canopy,Cup,"Nectar, Insects",Air,Hover Gleaner,Forest,NA
"Hummingbird, Ruby-throated",Archilochus colubris,ARCO,RTHU,4280,A,Woody Lower Canopy,Cup,"Nectar, Insects",Air,Hover Gleaner,"Forest, Urban",NA
"Hummingbird, Rufous",Selasphorus rufus,SERU,RUHU,4330,A,Woody Lower Canopy,Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Hummingbird, Violet-crowned",Amazilia violiceps,AMVI,VCHU,4391,C,Woody Upper Canopy,Cup,"Nectar, Insects",Air,Hover Gleaner,"Forest, Riparian",NA
"Hummingbird, White-eared",Hylocharis leucotis,HYLE,WEHU,4401,R,"Shrub, Woody Lower Canopy",Cup,"Nectar, Insects",Air,"Hover Gleaner, Hawker","Forest, Shrubland",NA
"Ibis, Glossy",Plegadis falcinellus,PLFA,GLIB,1860,R,"Ground, Shrub",Platform,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner",Swamp/Marsh,NA
"Ibis, Scarlet",Eudocimus ruber,EURU,SCIB,1850,R,Woody Upper Canopy,Platform,"Aquatic Inverts, Fish",Water,Prober,"Swamp/Marsh, Freshwater",NA
"Ibis, White",Eudocimus albus,EUAL,WHIB,1840,R,Woody Lower Canopy,Platform,"Aquatic Inverts, Fish","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Ibis, White-faced",Plegadis chihi,PLCH,WFIB,1870,R,"Ground, Shrub",Platform,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Jacana, Northern",Jacana spinosa,JASP,NOJA,2880,R,Floating,Platform,Insects,"Foliage, Ground","Foliage Gleaner, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Jaeger, Long-tailed",Stercorarius longicaudus,STLO1,LTJA,380,R,Ground,Scrape,"Small Mammals, Birds","Ground, Air","Hover & Pounce, Piracy","Grassland, Tundra",NA
"Jaeger, Parasitic",Stercorarius parasiticus,STPA,PAJA,370,R,Ground,Scrape,"Birds, Small Mammals","Ground, Air","Hover & Pounce, Piracy","Shrubland, Tundra",NA
"Jaeger, Pomarine",Stercorarius pomarinus,STPO,POJA,360,R,Ground,Scrape,"Small Mammals, Birds","Ground, Air","Low Patrol, Piracy","Swamp/Marsh, Tundra",NA
"Jay, Blue",Cyanocitta cristata,CYCR,BLJA,4770,R,Woody Lower Canopy,Cup,"Insects, Seeds","Ground, Air","Ground Gleaner, Hawker","Forest, Urban",NA
"Jay, Brown",Cyanocorax morio,CYMO,BRJA,4832,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Small Verts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Jay, Gray",Perisoreus canadensis,PECA,GRAJ,4840,R,Woody Lower Canopy,Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Jay, Gray-breasted",Aphelocoma ultramarina,APUL,GBJA,4820,R,Woody Lower Canopy,Cup,Nuts,Ground,Ground Gleaner,"Forest, Shrubland",NA
"Jay, Green",Cyanocorax yncas,CYYN,GREJ,4830,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Small Verts","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Shrubland, Forest",NA
"Jay, Pinyon",Gymnorhinus cyanocephalus,GYCY,PIJA,4920,R,Woody Lower Canopy,Cup,"Nuts, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Forest",NA
"Jay, Scrub",Aphelocoma coerulescens,APCO,SCJA,4810,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Nuts",Ground,Ground Gleaner,"Shrubland, Forest",NA
"Jay, Steller’s",Cyanocitta stelleri,CYST,STJA,4780,R,Woody Lower Canopy,Cup,"Nuts, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Junco, Dark-eyed",Junco hyemalis,JUHY,DEJU,5670,B,"Ground, Bank","Cup, Cavity","Seeds, Insects","Ground, Air","Ground Gleaner, Hawker","Forest, Forest Edge",NA
"Junco, Yellow-eyed",Junco phaeonotus,JUPH,YEJU,5700,R,"Ground, Shrub","Cup, Cavity","Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Shrubland",NA
"Kestrel, American",Falco sparverius,FASP,AMKE,3600,B,"Snag, Cliff",Cavity,"Insects, Small Verts","Ground, Air","Hover & Pounce, Hawker","Grassland, Cropland",NA
Killdeer,Charadrius vociferus,CHVO,KILL,2730,B,Ground,Scrape,Insects,Ground,Ground Gleaner,"Shoreline, Freshwater",NA
"Kingbird, Cassin’s",Tyrannus vociferans,TYVO,CAKI,4480,A,Woody Upper Canopy,Cup,"Insects, Fruit","Air, Ground","Hawker, Hover & Pounce","Forest, Shrubland",NA
"Kingbird, Couch’s",Tyrannus couchii,TYCO,COKI,4461,C,Woody Lower Canopy,Cup,"Insects, Fruit","Air, Ground",Hawker,"Riparian, Urban",NA
"Kingbird, Eastern",Tyrannus tyrannus,TYTY,EAKI,4440,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Riparian, Forest Edge",NA
"Kingbird, Gray",Tyrannus dominicensis,TYDO,GRAK,4450,D,"Woody Lower Canopy, Shrub",Cup,"Insects, Fruit","Air, Foliage","Hawker, Foliage Gleaner",Shoreline,NA
"Kingbird, Thick-billed",Tyrannus crassirostris,TYCR,TBKI,4451,C,Woody Upper Canopy,Cup,Insects,Air,Hawker,Riparian,NA
"Kingbird, Tropical",Tyrannus melancholicus,TYME,TRKI,4460,C,Woody Lower Canopy,Cup,"Insects, Fruit","Air, Ground","Hawker, Hover & Pounce","Forest, Urban",NA
"Kingbird, Western",Tyrannus verticalis,TYVE,WEKI,4470,A,"Woody Upper Canopy, Shrub",Cup,"Insects, Fruit","Air, Ground","Hawker, Hover & Pounce","Grassland, Riparian",NA
"Kingfisher, Belted",Ceryle alcyon,CEAL,BEKI,3900,B,"Bank, Snag","Burrow, Cavity","Fish, Aquatic Inverts",Water,High Dives,"Shoreline, Freshwater",NA
"Kingfisher, Green",Chloroceryle americana,CHAM,GKIN,3910,C,Bank,Burrow,Fish,Water,High Dives,"Freshwater, Swamp/Marsh",NA
"Kingfisher, Ringed",Ceryle torquata,CETO,RIKI,3901,R,Bank,Burrow,Fish,Water,High Dives,Freshwater,NA
"Kinglet, Golden-crowned",Regulus satrapa,RESA,GCKI,7480,R,Woody Upper Canopy,Pendant,"Insects, Fruit","Bark, Air","Foliage Gleaner, Hover Gleaner",Forest,NA
"Kinglet, Ruby-crowned",Regulus calendula,RECA,RCKI,7490,B,Woody Upper Canopy,Pendant,"Insects, Tree Sap","Foliage, Air","Foliage Gleaner, Hover Gleaner",Forest,NA
"Kiskadee, Great",Pitangus sulphuratus,PISU1,GKIS,4490,R,"Woody Lower Canopy, Shrub",Sphere,"Insects, Fish","Air, Water","Hawker, High Dives","Forest, Riparian",NA
"Kite, American Swallow-tailed",Elanoides forficatus,ELFO,ASTK,3270,A,Woody Upper Canopy,Platform,"Insects, Small Verts","Air, Ground","Hawker, Swooper","Forest, Swamp/Marsh",NA
"Kite, Black-shouldered",Elanus caeruleus,ELCA,BSKI,3280,R,Woody Upper Canopy,Platform,"Small Mammals, Insects",Ground,Hover & Pounce,"Grassland, Riparian",NA
"Kite, Hook-billed",Chondrohierax uncinatus,CHUN,HBKI,3271,R,Woody Lower Canopy,Platform,"Aquatic Inverts, Insects","Ground, Bark","Swooper, Bark Gleaner","Swamp/Marsh, Forest",NA
"Kite, Mississippi",Ictinia mississippiensis,ICMI,MIKI,3290,A,Woody Upper Canopy,Saucer,"Insects, Small Verts","Air, Ground","Hawker, High Patrol","Riparian, Forest Edge",NA
"Kite, Snail",Rostrhamus sociabilis,ROSO,SNKI,3300,R,"Woody Lower Canopy, Shrub",Platform,Aquatic Inverts,Water,"Low Patrol, Swooper","Swamp/Marsh, Freshwater",NA
"Kittiwake, Black-legged",Rissa tridactyla,RITR,BLKI,400,R,Cliff,Cup,"Fish, Aquatic Inverts",Water,"Surface Dips, High Dives","Pelagic, Coastal",NA
"Kittiwake, Red-legged",Rissa brevirostris,RIBR,RLKI,410,R,Cliff,Cup,"Fish, Aquatic Inverts",Water,"High Dives, Hover & Pick","Pelagic, Coastal",NA
"Knot, Red",Calidris canutus,CACA,REKN,2340,R,Ground,Scrape,"Insects, Seeds",Ground,"Ground Gleaner, Prober",Tundra,NA
"Lark, Horned",Eremophila alpestris,ERAL,HOLA,4740,B,Ground,Saucer,"Seeds, Insects",Ground,Ground Gleaner,"Grassland, Cropland",NA
Limpkin,Aramus guarauna,ARGU,LIMP,2070,R,"Ground, Shrub",Saucer,Aquatic Inverts,Water,"Prober, Ambusher",Swamp/Marsh,NA
"Longspur, Chestnut-collared",Calcarius ornatus,CAOR,CCLO,5380,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,Grassland,NA
"Longspur, Lapland",Calcarius lapponicus,CALA,LALO,5360,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Longspur, McCown’s",Calcarius mccownii,CAMC,MCLO,5390,B,Ground,Cup,"Seeds, Insects",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Longspur, Smith’s",Calcarius pictus,CAPI,SMLO,5370,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Tundra",NA
"Loon, Arctic",Gavia arctica,GAAR,ARLO,90,R,Ground,Platform,"Fish, Insects","Water, Ground","Surface Dives, Ground Gleaner","Freshwater, Tundra",NA
"Loon, Common",Gavia immer,GAIM,COLO,70,R,Ground,Platform,"Fish, Aquatic Inverts",Water,Surface Dives,Freshwater,NA
"Loon, Pacific",Gavia pacifica,GAPA,PALO,100,R,Ground,Platform,"Fish, Insects",Water,Surface Dives,"Tundra, Pelagic",NA
"Loon, Red-throated",Gavia stellata,GAST2,RTLO,110,R,Ground,"Saucer, Platform","Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Tundra",NA
"Loon, Yellow-billed",Gavia adamsii,GAAD,YBLO,80,R,Ground,Saucer,"Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Tundra",NA
